Date,Rise,Set,DayLength,DayLengthDiff,Meridian,Altitude,Distance
2018-01-01,07:25,17:01,09:37,+00:01,12:13,29.3,147098000
2018-01-02,07:25,17:02,09:37,+00:01,12:13,29.4,147097000
2018-01-03,07:25,17:03,09:38,+00:01,12:14,29.5,147097000
2018-01-04,07:25,17:04,09:39,+00:01,12:14,29.6,147099000
2018-01-05,07:25,17:05,09:40,+00:01,12:15,29.7,147101000
2018-01-06,07:25,17:06,09:41,+00:01,12:15,29.8,147103000
2018-01-07,07:25,17:06,09:42,+00:01,12:16,30.0,147107000
2018-01-08,07:25,17:07,09:43,+00:01,12:16,30.1,147112000
2018-01-09,07:25,17:08,09:44,+00:01,12:16,30.2,147117000
2018-01-10,07:25,17:09,09:45,+00:01,12:17,30.4,147123000
2018-01-11,07:24,17:10,09:46,+00:01,12:17,30.5,147130000
2018-01-12,07:24,17:11,09:47,+00:01,12:18,30.7,147137000
2018-01-13,07:24,17:12,09:48,+00:01,12:18,30.9,147146000
2018-01-14,07:24,17:13,09:50,+00:01,12:18,31.0,147154000
2018-01-15,07:23,17:14,09:51,+00:01,12:19,31.2,147163000
2018-01-16,07:23,17:15,09:52,+00:01,12:19,31.4,147173000
2018-01-17,07:23,17:16,09:54,+00:01,12:19,31.6,147184000
2018-01-18,07:22,17:18,09:55,+00:01,12:20,31.8,147194000
2018-01-19,07:22,17:19,09:57,+00:02,12:20,32.0,147206000
2018-01-20,07:21,17:20,09:58,+00:02,12:20,32.3,147218000
2018-01-21,07:21,17:21,10:00,+00:02,12:21,32.5,147230000
2018-01-22,07:20,17:22,10:02,+00:02,12:21,32.7,147244000
2018-01-23,07:20,17:23,10:03,+00:02,12:21,32.9,147258000
2018-01-24,07:19,17:24,10:05,+00:02,12:21,33.2,147272000
2018-01-25,07:18,17:25,10:07,+00:02,12:22,33.4,147287000
2018-01-26,07:18,17:26,10:09,+00:02,12:22,33.7,147303000
2018-01-27,07:17,17:27,10:10,+00:02,12:22,33.9,147320000
2018-01-28,07:16,17:28,10:12,+00:02,12:22,34.2,147337000
2018-01-29,07:15,17:30,10:14,+00:02,12:22,34.5,147356000
2018-01-30,07:15,17:31,10:16,+00:02,12:22,34.7,147375000
2018-01-31,07:14,17:32,10:18,+00:02,12:23,35.0,147395000
2018-02-01,07:13,17:33,10:20,+00:02,12:23,35.3,147417000
2018-02-02,07:12,17:34,10:22,+00:02,12:23,35.6,147439000
2018-02-03,07:11,17:35,10:24,+00:02,12:23,35.9,147462000
2018-02-04,07:10,17:36,10:26,+00:02,12:23,36.2,147485000
2018-02-05,07:09,17:37,10:28,+00:02,12:23,36.5,147510000
2018-02-06,07:08,17:39,10:30,+00:02,12:23,36.8,147535000
2018-02-07,07:07,17:40,10:32,+00:02,12:23,37.1,147561000
2018-02-08,07:06,17:41,10:34,+00:02,12:23,37.4,147587000
2018-02-09,07:05,17:42,10:36,+00:02,12:23,37.8,147614000
2018-02-10,07:04,17:43,10:39,+00:02,12:23,38.1,147641000
2018-02-11,07:03,17:44,10:41,+00:02,12:23,38.4,147669000
2018-02-12,07:02,17:45,10:43,+00:02,12:23,38.7,147698000
2018-02-13,07:01,17:46,10:45,+00:02,12:23,39.1,147726000
2018-02-14,07:00,17:47,10:47,+00:02,12:23,39.4,147756000
2018-02-15,06:59,17:48,10:50,+00:02,12:23,39.8,147785000
2018-02-16,06:57,17:49,10:52,+00:02,12:23,40.1,147815000
2018-02-17,06:56,17:51,10:54,+00:02,12:23,40.5,147845000
2018-02-18,06:55,17:52,10:57,+00:02,12:23,40.8,147876000
2018-02-19,06:54,17:53,10:59,+00:02,12:23,41.2,147907000
2018-02-20,06:53,17:54,11:01,+00:02,12:23,41.5,147938000
2018-02-21,06:51,17:55,11:03,+00:02,12:23,41.9,147970000
2018-02-22,06:50,17:56,11:06,+00:02,12:23,42.3,148002000
2018-02-23,06:49,17:57,11:08,+00:02,12:22,42.6,148035000
2018-02-24,06:47,17:58,11:11,+00:02,12:22,43.0,148068000
2018-02-25,06:46,17:59,11:13,+00:02,12:22,43.4,148101000
2018-02-26,06:45,18:00,11:15,+00:02,12:22,43.7,148136000
2018-02-27,06:43,18:01,11:18,+00:02,12:22,44.1,148170000
2018-02-28,06:42,18:02,11:20,+00:02,12:22,44.5,148206000
2018-03-01,06:40,18:03,11:22,+00:02,12:21,44.9,148242000
2018-03-02,06:39,18:04,11:25,+00:02,12:21,45.3,148278000
2018-03-03,06:38,18:05,11:27,+00:02,12:21,45.6,148315000
2018-03-04,06:36,18:06,11:30,+00:02,12:21,46.0,148353000
2018-03-05,06:35,18:07,11:32,+00:02,12:21,46.4,148392000
2018-03-06,06:33,18:08,11:34,+00:02,12:20,46.8,148430000
2018-03-07,06:32,18:09,11:37,+00:02,12:20,47.2,148470000
2018-03-08,06:30,18:10,11:39,+00:02,12:20,47.6,148509000
2018-03-09,06:29,18:11,11:42,+00:02,12:20,48.0,148549000
2018-03-10,06:28,18:12,11:44,+00:02,12:19,48.4,148590000
2018-03-11,07:26,19:13,11:47,+00:02,13:19,48.7,148630000
2018-03-12,07:25,19:14,11:49,+00:02,13:19,49.1,148671000
2018-03-13,07:23,19:15,11:52,+00:02,13:19,49.5,148712000
2018-03-14,07:22,19:16,11:54,+00:02,13:18,49.9,148753000
2018-03-15,07:20,19:17,11:56,+00:02,13:18,50.3,148794000
2018-03-16,07:19,19:17,11:59,+00:02,13:18,50.7,148835000
2018-03-17,07:17,19:18,12:01,+00:02,13:17,51.1,148876000
2018-03-18,07:16,19:19,12:04,+00:02,13:17,51.5,148917000
2018-03-19,07:14,19:20,12:06,+00:02,13:17,51.9,148958000
2018-03-20,07:13,19:21,12:09,+00:02,13:17,52.3,148999000
2018-03-21,07:11,19:22,12:11,+00:02,13:16,52.7,149041000
2018-03-22,07:09,19:23,12:14,+00:02,13:16,53.1,149082000
2018-03-23,07:08,19:24,12:16,+00:02,13:16,53.5,149123000
2018-03-24,07:06,19:25,12:18,+00:02,13:15,53.9,149164000
2018-03-25,07:05,19:26,12:21,+00:02,13:15,54.3,149206000
2018-03-26,07:03,19:27,12:23,+00:02,13:15,54.7,149247000
2018-03-27,07:02,19:28,12:26,+00:02,13:14,55.1,149289000
2018-03-28,07:00,19:29,12:28,+00:02,13:14,55.4,149331000
2018-03-29,06:59,19:29,12:31,+00:02,13:14,55.8,149373000
2018-03-30,06:57,19:30,12:33,+00:02,13:14,56.2,149416000
2018-03-31,06:56,19:31,12:35,+00:02,13:13,56.6,149459000
2018-04-01,06:54,19:32,12:38,+00:02,13:13,57.0,149502000
2018-04-02,06:53,19:33,12:40,+00:02,13:13,57.4,149545000
2018-04-03,06:51,19:34,12:43,+00:02,13:12,57.8,149588000
2018-04-04,06:50,19:35,12:45,+00:02,13:12,58.1,149632000
2018-04-05,06:48,19:36,12:48,+00:02,13:12,58.5,149675000
2018-04-06,06:47,19:37,12:50,+00:02,13:11,58.9,149719000
2018-04-07,06:45,19:38,12:52,+00:02,13:11,59.3,149763000
2018-04-08,06:44,19:39,12:55,+00:02,13:11,59.6,149806000
2018-04-09,06:42,19:40,12:57,+00:02,13:11,60.0,149850000
2018-04-10,06:41,19:40,12:59,+00:02,13:10,60.4,149893000
2018-04-11,06:40,19:41,13:02,+00:02,13:10,60.8,149937000
2018-04-12,06:38,19:42,13:04,+00:02,13:10,61.1,149980000
2018-04-13,06:37,19:43,13:06,+00:02,13:10,61.5,150022000
2018-04-14,06:35,19:44,13:09,+00:02,13:09,61.8,150065000
2018-04-15,06:34,19:45,13:11,+00:02,13:09,62.2,150107000
2018-04-16,06:32,19:46,13:13,+00:02,13:09,62.6,150149000
2018-04-17,06:31,19:47,13:16,+00:02,13:09,62.9,150190000
2018-04-18,06:30,19:48,13:18,+00:02,13:08,63.3,150231000
2018-04-19,06:28,19:49,13:20,+00:02,13:08,63.6,150271000
2018-04-20,06:27,19:50,13:23,+00:02,13:08,63.9,150312000
2018-04-21,06:26,19:51,13:25,+00:02,13:08,64.3,150351000
2018-04-22,06:24,19:51,13:27,+00:02,13:08,64.6,150391000
2018-04-23,06:23,19:52,13:29,+00:02,13:07,64.9,150430000
2018-04-24,06:22,19:53,13:31,+00:02,13:07,65.3,150470000
2018-04-25,06:21,19:54,13:34,+00:02,13:07,65.6,150508000
2018-04-26,06:19,19:55,13:36,+00:02,13:07,65.9,150547000
2018-04-27,06:18,19:56,13:38,+00:02,13:07,66.2,150586000
2018-04-28,06:17,19:57,13:40,+00:02,13:07,66.6,150625000
2018-04-29,06:16,19:58,13:42,+00:02,13:06,66.9,150663000
2018-04-30,06:14,19:59,13:44,+00:02,13:06,67.2,150701000
2018-05-01,06:13,20:00,13:46,+00:02,13:06,67.5,150740000
2018-05-02,06:12,20:01,13:48,+00:02,13:06,67.8,150778000
2018-05-03,06:11,20:02,13:50,+00:02,13:06,68.1,150816000
2018-05-04,06:10,20:02,13:53,+00:02,13:06,68.4,150853000
2018-05-05,06:09,20:03,13:55,+00:02,13:06,68.6,150891000
2018-05-06,06:08,20:04,13:56,+00:02,13:06,68.9,150928000
2018-05-07,06:07,20:05,13:58,+00:02,13:06,69.2,150964000
2018-05-08,06:06,20:06,14:00,+00:02,13:06,69.5,151001000
2018-05-09,06:05,20:07,14:02,+00:02,13:06,69.7,151037000
2018-05-10,06:04,20:08,14:04,+00:02,13:06,70.0,151072000
2018-05-11,06:03,20:09,14:06,+00:02,13:06,70.2,151107000
2018-05-12,06:02,20:10,14:08,+00:02,13:05,70.5,151141000
2018-05-13,06:01,20:11,14:10,+00:02,13:05,70.7,151175000
2018-05-14,06:00,20:11,14:11,+00:02,13:05,71.0,151208000
2018-05-15,05:59,20:12,14:13,+00:02,13:06,71.2,151240000
2018-05-16,05:58,20:13,14:15,+00:02,13:06,71.5,151272000
2018-05-17,05:58,20:14,14:16,+00:02,13:06,71.7,151303000
2018-05-18,05:57,20:15,14:18,+00:02,13:06,71.9,151333000
2018-05-19,05:56,20:16,14:20,+00:02,13:06,72.1,151362000
2018-05-20,05:55,20:17,14:21,+00:02,13:06,72.3,151391000
2018-05-21,05:55,20:17,14:23,+00:02,13:06,72.5,151420000
2018-05-22,05:54,20:18,14:24,+00:01,13:06,72.7,151447000
2018-05-23,05:53,20:19,14:26,+00:01,13:06,72.9,151475000
2018-05-24,05:53,20:20,14:27,+00:01,13:06,73.1,151501000
2018-05-25,05:52,20:21,14:28,+00:01,13:06,73.3,151528000
2018-05-26,05:52,20:21,14:30,+00:01,13:06,73.4,151554000
2018-05-27,05:51,20:22,14:31,+00:01,13:06,73.6,151579000
2018-05-28,05:51,20:23,14:32,+00:01,13:06,73.8,151604000
2018-05-29,05:50,20:23,14:33,+00:01,13:07,73.9,151629000
2018-05-30,05:50,20:24,14:34,+00:01,13:07,74.1,151653000
2018-05-31,05:49,20:25,14:36,+00:01,13:07,74.2,151677000
