date,rise,set
2018-01-01,06:58,16:54
2018-01-02,06:58,16:55
2018-01-03,06:58,16:56
2018-01-04,06:59,16:57
2018-01-05,06:59,16:58
2018-01-06,06:59,16:58
2018-01-07,06:59,16:59
2018-01-08,06:59,17:00
2018-01-09,06:59,17:01
2018-01-10,06:59,17:02
2018-01-11,06:59,17:03
2018-01-12,06:58,17:04
2018-01-13,06:58,17:05
2018-01-14,06:58,17:06
2018-01-15,06:58,17:07
2018-01-16,06:58,17:07
2018-01-17,06:57,17:08
2018-01-18,06:57,17:09
2018-01-19,06:57,17:10
2018-01-20,06:56,17:11
2018-01-21,06:56,17:12
2018-01-22,06:55,17:13
2018-01-23,06:55,17:14
2018-01-24,06:54,17:15
2018-01-25,06:54,17:16
2018-01-26,06:53,17:17
2018-01-27,06:53,17:18
2018-01-28,06:52,17:19
2018-01-29,06:52,17:20
2018-01-30,06:51,17:21
2018-01-31,06:50,17:22
2018-02-01,06:49,17:23
2018-02-02,06:49,17:24
2018-02-03,06:48,17:25
2018-02-04,06:47,17:26
2018-02-05,06:46,17:27
2018-02-06,06:46,17:28
2018-02-07,06:45,17:29
2018-02-08,06:44,17:30
2018-02-09,06:43,17:31
2018-02-10,06:42,17:32
2018-02-11,06:41,17:33
2018-02-12,06:40,17:34
2018-02-13,06:39,17:35
2018-02-14,06:38,17:36
2018-02-15,06:37,17:37
2018-02-16,06:36,17:37
2018-02-17,06:35,17:38
2018-02-18,06:34,17:39
2018-02-19,06:33,17:40
2018-02-20,06:32,17:41
2018-02-21,06:31,17:42
2018-02-22,06:29,17:43
2018-02-23,06:28,17:44
2018-02-24,06:27,17:45
2018-02-25,06:26,17:46
2018-02-26,06:25,17:46
2018-02-27,06:24,17:47
2018-02-28,06:22,17:48
2018-03-01,06:21,17:49
2018-03-02,06:20,17:50
2018-03-03,06:19,17:51
2018-03-04,06:17,17:51
2018-03-05,06:16,17:52
2018-03-06,06:15,17:53
2018-03-07,06:13,17:54
2018-03-08,06:12,17:55
2018-03-09,06:11,17:56
2018-03-10,06:10,17:56
2018-03-11,07:08,18:57
2018-03-12,07:07,18:58
2018-03-13,07:06,18:59
2018-03-14,07:04,19:00
2018-03-15,07:03,19:00
2018-03-16,07:01,19:01
2018-03-17,07:00,19:02
2018-03-18,06:59,19:03
2018-03-19,06:57,19:03
2018-03-20,06:56,19:04
2018-03-21,06:55,19:05
2018-03-22,06:53,19:06
2018-03-23,06:52,19:07
2018-03-24,06:51,19:07
2018-03-25,06:49,19:08
2018-03-26,06:48,19:09
2018-03-27,06:47,19:10
2018-03-28,06:45,19:10
2018-03-29,06:44,19:11
2018-03-30,06:42,19:12
2018-03-31,06:41,19:13
2018-04-01,06:40,19:13
2018-04-02,06:38,19:14
2018-04-03,06:37,19:15
2018-04-04,06:36,19:16
2018-04-05,06:34,19:16
2018-04-06,06:33,19:17
2018-04-07,06:32,19:18
2018-04-08,06:30,19:19
2018-04-09,06:29,19:19
2018-04-10,06:28,19:20
2018-04-11,06:27,19:21
2018-04-12,06:25,19:22
2018-04-13,06:24,19:23
2018-04-14,06:23,19:23
2018-04-15,06:21,19:24
2018-04-16,06:20,19:25
2018-04-17,06:19,19:26
2018-04-18,06:18,19:26
2018-04-19,06:17,19:27
2018-04-20,06:15,19:28
2018-04-21,06:14,19:29
2018-04-22,06:13,19:29
2018-04-23,06:12,19:30
2018-04-24,06:11,19:31
2018-04-25,06:10,19:32
2018-04-26,06:08,19:33
2018-04-27,06:07,19:33
2018-04-28,06:06,19:34
2018-04-29,06:05,19:35
2018-04-30,06:04,19:36
2018-05-01,06:03,19:36
2018-05-02,06:02,19:37
2018-05-03,06:01,19:38
2018-05-04,06:00,19:39
2018-05-05,05:59,19:40
2018-05-06,05:58,19:40
2018-05-07,05:57,19:41
2018-05-08,05:57,19:42
2018-05-09,05:56,19:43
2018-05-10,05:55,19:43
2018-05-11,05:54,19:44
2018-05-12,05:53,19:45
2018-05-13,05:52,19:46
2018-05-14,05:52,19:46
2018-05-15,05:51,19:47
2018-05-16,05:50,19:48
2018-05-17,05:50,19:49
2018-05-18,05:49,19:49
2018-05-19,05:48,19:50
2018-05-20,05:48,19:51
2018-05-21,05:47,19:52
2018-05-22,05:46,19:52
2018-05-23,05:46,19:53
2018-05-24,05:45,19:54
2018-05-25,05:45,19:54
2018-05-26,05:44,19:55
2018-05-27,05:44,19:56
2018-05-28,05:44,19:56
2018-05-29,05:43,19:57
2018-05-30,05:43,19:58
2018-05-31,05:42,19:58
2018-06-01,05:42,19:59
2018-06-02,05:42,19:59
2018-06-03,05:42,20:00
2018-06-04,05:41,20:01
2018-06-05,05:41,20:01
2018-06-06,05:41,20:02
2018-06-07,05:41,20:02
2018-06-08,05:41,20:03
2018-06-09,05:41,20:03
2018-06-10,05:41,20:04
2018-06-11,05:41,20:04
2018-06-12,05:41,20:04
2018-06-13,05:41,20:05
2018-06-14,05:41,20:05
2018-06-15,05:41,20:06
2018-06-16,05:41,20:06
2018-06-17,05:41,20:06
2018-06-18,05:41,20:06
2018-06-19,05:41,20:07
2018-06-20,05:41,20:07
2018-06-21,05:42,20:07
2018-06-22,05:42,20:07
2018-06-23,05:42,20:07
2018-06-24,05:42,20:08
2018-06-25,05:43,20:08
2018-06-26,05:43,20:08
2018-06-27,05:43,20:08
2018-06-28,05:44,20:08
2018-06-29,05:44,20:08
2018-06-30,05:44,20:08
2018-07-01,05:45,20:08
2018-07-02,05:45,20:08
2018-07-03,05:46,20:08
2018-07-04,05:46,20:08
2018-07-05,05:47,20:07
2018-07-06,05:47,20:07
2018-07-07,05:48,20:07
2018-07-08,05:48,20:07
2018-07-09,05:49,20:07
2018-07-10,05:49,20:06
2018-07-11,05:50,20:06
2018-07-12,05:51,20:06
2018-07-13,05:51,20:05
2018-07-14,05:52,20:05
2018-07-15,05:52,20:04
2018-07-16,05:53,20:04
2018-07-17,05:54,20:03
2018-07-18,05:54,20:03
2018-07-19,05:55,20:02
2018-07-20,05:56,20:02
2018-07-21,05:56,20:01
2018-07-22,05:57,20:01
2018-07-23,05:58,20:00
2018-07-24,05:58,19:59
2018-07-25,05:59,19:59
2018-07-26,06:00,19:58
2018-07-27,06:00,19:57
2018-07-28,06:01,19:56
2018-07-29,06:02,19:56
2018-07-30,06:03,19:55
2018-07-31,06:03,19:54
